site,habitat,sphcover
AmLuxx,Un,35.27083333
EvLuPa,Un,56.17361111
EvLuVK,Un,46.61111111
HeLuxx,Un,55.95138889
SeLuMu,Un,54.27777778
SiLuN,Un,61.5
SiLuS,Un,13.28472222
SusiLu,Un,69.13194444
TeLuxx,Un,25.65277778
KoniOj,Dr,19.62878788
LakkOj,Dr,5.66969697
LiOjNx,Dr,0.196969697
LiOjSx,Dr,4.859090909
RuOjSP,Dr,5.393939394
RuOjSu,Dr,0
SeOjxx,Dr,5.787878788
TeOjxx,Dr,20.16666667
VeOjxx,Dr,2.757575758
Ev01VR,Re,25.95522388
Ev03ku,Re,7.696969697
Ev03ma,Re,23.89090909
He00xx,Re,34.49242424
He08xx,Re,40.22272727
Li00ma,Re,17.53030303
Li95So,Re,64.675
Li98ku,Re,1.045454545
Nu01hi,Re,39.05882353
Nu01Wm,Re,28.66666667
Nu05ku,Re,1.181818182
Nu05ma,Re,3.346153846
Nu08Po,Re,7.214285714
Nu97Ex,Re,32.01538462
Se04xx,Re,28.6969697
Se95Mu,Re,32.93333333
Se96Ko,Re,21.12791784
Se98xx,Re,9.714285714
